yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Re-Export,Qatar,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5440908.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2009,2009.0,Re-Export,Qatar,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",179127.0,,25.3336984,51.2295295,46.603354,1.8883335
2009,2009.0,Re-Export,Qatar,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",181549.0,,25.3336984,51.2295295,51.1638175,10.4478313
2009,2009.0,Re-Export,Qatar,Ghana,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",22062.0,,25.3336984,51.2295295,8.0300284,-1.0800271
2009,2009.0,Re-Export,Qatar,Iraq,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",6846.0,,25.3336984,51.2295295,33.0955793,44.1749775
2009,2009.0,Re-Export,Qatar,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",664844.0,,25.3336984,51.2295295,42.6384261,12.674297
2009,2009.0,Re-Export,Qatar,Jordan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",27008.0,,25.3336984,51.2295295,31.1667049,36.941628
2009,2009.0,Re-Export,Qatar,Kuwait,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",238787.0,,25.3336984,51.2295295,29.2733964,47.4979476
2009,2009.0,Re-Export,Qatar,Lebanon,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",14272.0,,25.3336984,51.2295295,33.8750629,35.843409
2009,2009.0,Re-Export,Qatar,Malaysia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",16935.0,,25.3336984,51.2295295,4.5693754,102.2656823
2009,2009.0,Re-Export,Qatar,Malta,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",146153.0,,25.3336984,51.2295295,35.8885993,14.4476911
2009,2009.0,Re-Export,Qatar,Mauritania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",38608.0,,25.3336984,51.2295295,20.2540382,-9.2399263
2009,2009.0,Re-Export,Qatar,Mexico,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",23897.0,,25.3336984,51.2295295,23.6585116,-102.0077097
2009,2009.0,Re-Export,Qatar,Oman,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",487497.0,,25.3336984,51.2295295,21.0000287,57.0036901
2009,2009.0,Re-Export,Qatar,Netherlands,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",24136.0,,25.3336984,51.2295295,52.2434979,5.6343227
2009,2009.0,Re-Export,Qatar,New Zealand,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",7764.0,,25.3336984,51.2295295,-41.5000831,172.8344077
2009,2009.0,Re-Export,Qatar,Nigeria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",99374.0,,25.3336984,51.2295295,9.6000359,7.9999721
2009,2009.0,Re-Export,Qatar,Norway,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",45783.0,,25.3336984,51.2295295,60.5000209,9.0999715
2009,2009.0,Re-Export,Qatar,Pakistan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",216760.0,,25.3336984,51.2295295,30.3308401,71.247499
2009,2009.0,Re-Export,Qatar,Saudi Arabia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",318519.0,,25.3336984,51.2295295,25.6242618,42.3528328
2009,2009.0,Re-Export,Qatar,India,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",6117.0,,25.3336984,51.2295295,22.3511148,78.6677428
2009,2009.0,Re-Export,Qatar,Singapore,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",32556.0,,25.3336984,51.2295295,1.357107,103.8194992
2009,2009.0,Re-Export,Qatar,South Africa,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",16116.0,,25.3336984,51.2295295,-28.8166236,24.991639
2009,2009.0,Re-Export,Qatar,Fmr Sudan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",107321.0,,25.3336984,51.2295295,18.046398,34.41288
2009,2009.0,Re-Export,Qatar,Switzerland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",76323.0,,25.3336984,51.2295295,46.7985624,8.2319736
2009,2009.0,Re-Export,Qatar,Syria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3811.0,,25.3336984,51.2295295,34.6401861,39.0494106
2009,2009.0,Re-Export,Qatar,United Arab Emirates,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1013124.0,,25.3336984,51.2295295,24.0002488,53.9994829
2009,2009.0,Re-Export,Qatar,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",431839.0,,25.3336984,51.2295295,54.7023545,-3.2765753
2009,2009.0,Re-Export,Qatar,United Rep. of Tanzania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",6318.0,,25.3336984,51.2295295,,
2009,2009.0,Re-Export,Qatar,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",43116.0,,25.3336984,51.2295295,39.7837304,-100.445882
