yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,Unnamed: 0_export,rtLat,rtLon,ptLat,ptLon,mid,TradeValue_import,Unnamed: 0_import
2020.0,2020.0,Export,Azerbaijan,World,52.0,Cotton,156842456.0,,40.3936294,47.7872508,-36.8535712,174.7456809,52.02020.0Azerbaijan,6288854.0,
2020.0,2020.0,Export,Azerbaijan,World,54.0,Man-made filaments; strip and the like of man-made textile materials,836367.0,,40.3936294,47.7872508,-36.8535712,174.7456809,54.02020.0Azerbaijan,33282350.0,
2020.0,2020.0,Export,Azerbaijan,World,55.0,Man-made staple fibres,682334.0,,40.3936294,47.7872508,-36.8535712,174.7456809,55.02020.0Azerbaijan,12355060.0,
2020.0,2020.0,Export,Azerbaijan,World,56.0,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",65392.0,,40.3936294,47.7872508,-36.8535712,174.7456809,56.02020.0Azerbaijan,29428297.0,
2020.0,2020.0,Export,Azerbaijan,World,57.0,Carpets and other textile floor coverings,379632.0,,40.3936294,47.7872508,-36.8535712,174.7456809,57.02020.0Azerbaijan,15268734.0,
2020.0,2020.0,Export,Azerbaijan,World,58.0,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",422143.0,,40.3936294,47.7872508,-36.8535712,174.7456809,58.02020.0Azerbaijan,7494703.0,
2020.0,2020.0,Export,Azerbaijan,World,59.0,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",91616.0,,40.3936294,47.7872508,-36.8535712,174.7456809,59.02020.0Azerbaijan,8765731.0,
2020.0,2020.0,Export,Azerbaijan,World,60.0,Fabrics; knitted or crocheted,16480.0,,40.3936294,47.7872508,-36.8535712,174.7456809,60.02020.0Azerbaijan,20762649.0,
2020.0,2020.0,Export,Azerbaijan,World,61.0,Apparel and clothing accessories; knitted or crocheted,544463.0,,40.3936294,47.7872508,-36.8535712,174.7456809,61.02020.0Azerbaijan,114504710.0,
2020.0,2020.0,Export,Azerbaijan,World,62.0,Apparel and clothing accessories; not knitted or crocheted,876259.0,,40.3936294,47.7872508,-36.8535712,174.7456809,62.02020.0Azerbaijan,91815772.0,
2020.0,2020.0,Export,Azerbaijan,World,63.0,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",20260494.0,,40.3936294,47.7872508,-36.8535712,174.7456809,63.02020.0Azerbaijan,57369227.0,
2020.0,2020.0,Export,Azerbaijan,World,64.0,Footwear; gaiters and the like; parts of such articles,862365.0,,40.3936294,47.7872508,-36.8535712,174.7456809,64.02020.0Azerbaijan,68700432.0,
2020.0,2020.0,Export,Azerbaijan,World,65.0,Headgear and parts thereof,12361.0,,40.3936294,47.7872508,-36.8535712,174.7456809,65.02020.0Azerbaijan,3641226.0,
2020.0,2020.0,Export,Azerbaijan,World,66.0,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",462.0,,40.3936294,47.7872508,-36.8535712,174.7456809,66.02020.0Azerbaijan,565660.0,
