yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Export,Israel,Switzerland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2295000.0,,30.8124247,34.8594762,46.7985624,8.2319736
2018,2018.0,Export,Israel,Thailand,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33000.0,,30.8124247,34.8594762,14.8971921,100.83273
2018,2018.0,Export,Israel,Turkey,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2540000.0,,30.8124247,34.8594762,38.9597594,34.9249653
2018,2018.0,Export,Israel,Uganda,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",230000.0,,30.8124247,34.8594762,1.5333554,32.2166578
2018,2018.0,Export,Israel,Ukraine,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",120000.0,,30.8124247,34.8594762,49.4871968,31.2718321
2018,2018.0,Export,Israel,Egypt,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",281000.0,,30.8124247,34.8594762,26.2540493,29.2675469
2018,2018.0,Export,Israel,United Kingdom,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12839000.0,,30.8124247,34.8594762,54.7023545,-3.2765753
2018,2018.0,Export,Israel,United Rep. of Tanzania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",80000.0,,30.8124247,34.8594762,,
2018,2018.0,Export,Israel,Bunkers,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2826000.0,,30.8124247,34.8594762,42.18544695,-71.13717580263157
2018,2018.0,Export,Israel,USA,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38678000.0,,30.8124247,34.8594762,39.7837304,-100.445882
2018,2018.0,Export,Israel,Zambia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",421000.0,,30.8124247,34.8594762,-14.5189121,27.5589884
