yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Saudi Arabia,Bulgaria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",36793,,,42.6073975,25.4856617
2018,2018,Import,Saudi Arabia,Belarus,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",22871,,,53.4250605,27.6971358
2018,2018,Import,Saudi Arabia,Canada,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1294459,,,61.0666922,-107.991707
2018,2018,Import,Saudi Arabia,Sri Lanka,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4154,,,7.5554942,80.7137847
2018,2018,Import,Saudi Arabia,Chile,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",18851,,,-31.7613365,-71.3187697
2018,2018,Import,Saudi Arabia,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",72055706,,,35.000074,104.999927
2018,2018,Import,Saudi Arabia,Colombia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2945,,,4.099917,-72.9088133
2018,2018,Import,Saudi Arabia,Dem. Rep. of the Congo,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3070,,,,
2018,2018,Import,Saudi Arabia,Croatia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3543,,,,
2018,2018,Import,Saudi Arabia,Cyprus,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",15362,,,34.9823018,33.1451285
2018,2018,Import,Saudi Arabia,Czechia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",912469,,,,
2018,2018,Import,Saudi Arabia,Denmark,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",378165,,,55.670249,10.3333283
2018,2018,Import,Saudi Arabia,El Salvador,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",9362,,,,
