yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,296013,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Afghanistan, Afghanistan,9901,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Armenia, Armenia,2555,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Azerbaijan, Azerbaijan,97,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,821591,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Comoros, Comoros,14219,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,2136,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Djibouti, Djibouti,1725291,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Georgia, Georgia,44452,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,134694,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,1284344,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,458468,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,72159,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Morocco, Morocco,9479,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,410953,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,1354582,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,3910381,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,3291222,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, State of Palestine, State of Palestine,16252,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,2374022,24.0002488,53.9994829,,
