rtTitle,yr,rgDesc,cmdDescE,cmdCode
Comoros,2016,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",8
Comoros,2016,Import,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Comoros,2016,Import,Furskins and artificial fur; manufactures thereof,43
Comoros,2016,Import,Glass and glassware,70
Comoros,2016,Import,Headgear and parts thereof,65
Comoros,2016,Import,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",28
Comoros,2016,Import,Iron and steel,72
Comoros,2016,Import,Iron or steel articles,73
Comoros,2016,Import,Lead and articles thereof,78
Comoros,2016,Import,Man-made filaments; strip and the like of man-made textile materials,54
Comoros,2016,Import,Man-made staple fibres,55
Comoros,2016,Import,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46
Comoros,2016,Import,Meat and edible meat offal,2
Comoros,2016,Import,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",16
Comoros,2016,Import,Metal; miscellaneous products of base metal,83
Comoros,2016,Import,"Metals; n.e.c., cermets and articles thereof",81
Comoros,2016,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
Comoros,2016,Import,Miscellaneous edible preparations,21
Comoros,2016,Import,Miscellaneous manufactured articles,96
Comoros,2016,Import,Musical instruments; parts and accessories of such articles,92
Comoros,2016,Import,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71
Comoros,2016,Import,Nickel and articles thereof,75
Comoros,2016,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Comoros,2016,Import,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",12
Comoros,2016,Import,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Comoros,2016,Import,Organic chemicals,29
Comoros,2016,Import,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Comoros,2016,Import,Pharmaceutical products,30
Comoros,2016,Import,Photographic or cinematographic goods,37
Comoros,2016,Import,Plastics and articles thereof,39
Comoros,2016,Import,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19
Comoros,2016,Import,"Preparations of vegetables, fruit, nuts or other parts of plants",20
Comoros,2016,Import,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
Comoros,2016,Import,"Products of the milling industry; malt, starches, inulin, wheat gluten",11
Comoros,2016,Import,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47
Comoros,2016,Import,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
Comoros,2016,Import,Raw hides and skins (other than furskins) and leather,41
Comoros,2016,Import,Rubber and articles thereof,40
Comoros,2016,Import,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25
Comoros,2016,Import,"Ships, boats and floating structures",89
Comoros,2016,Import,Silk,50
Comoros,2016,Import,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34
Comoros,2016,Import,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",68
Comoros,2016,Import,Sugars and sugar confectionery,17
Comoros,2016,Import,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",32
Comoros,2016,Import,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",59
Comoros,2016,Import,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",63
Comoros,2016,Import,Tobacco and manufactured tobacco substitutes,24
Comoros,2016,Import,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",82
Comoros,2016,Import,"Toys, games and sports requisites; parts and accessories thereof",95
Comoros,2016,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",6
Comoros,2016,Import,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",66
Comoros,2016,Import,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14
Comoros,2016,Import,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,53
Comoros,2016,Import,Vegetables and certain roots and tubers; edible,7
Comoros,2016,Import,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87
Comoros,2016,Import,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",56
Comoros,2016,Import,Wood and articles of wood; wood charcoal,44
Comoros,2016,Import,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51
Comoros,2016,Import,Works of art; collectors' pieces and antiques,97
Comoros,2018,Export,Aluminium and articles thereof,76
Comoros,2018,Export,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15
Comoros,2018,Export,Animals; live,1
Comoros,2018,Export,Apparel and clothing accessories; knitted or crocheted,61
Comoros,2018,Export,Apparel and clothing accessories; not knitted or crocheted,62
Comoros,2018,Export,Arms and ammunition; parts and accessories thereof,93
Comoros,2018,Export,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
Comoros,2018,Export,"Beverages, spirits and vinegar",22
Comoros,2018,Export,Carpets and other textile floor coverings,57
Comoros,2018,Export,Ceramic products,69
Comoros,2018,Export,Clocks and watches and parts thereof,91
Comoros,2018,Export,"Coffee, tea, mate and spices",9
Comoros,2018,Export,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
Comoros,2018,Export,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
Comoros,2018,Export,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36
Comoros,2018,Export,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
Comoros,2018,Export,Footwear; gaiters and the like; parts of such articles,64
Comoros,2018,Export,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Comoros,2018,Export,Glass and glassware,70
Comoros,2018,Export,Iron and steel,72
Comoros,2018,Export,Iron or steel articles,73
Comoros,2018,Export,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46
Comoros,2018,Export,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
Comoros,2018,Export,Miscellaneous manufactured articles,96
Comoros,2018,Export,Musical instruments; parts and accessories of such articles,92
Comoros,2018,Export,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Comoros,2018,Export,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Comoros,2018,Export,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Comoros,2018,Export,Plastics and articles thereof,39
Comoros,2018,Export,"Preparations of vegetables, fruit, nuts or other parts of plants",20
Comoros,2018,Export,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
Comoros,2018,Export,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
Comoros,2018,Export,Rubber and articles thereof,40
Comoros,2018,Export,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25
Comoros,2018,Export,"Ships, boats and floating structures",89
Comoros,2018,Export,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",63
Comoros,2018,Export,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",82
Comoros,2018,Export,"Toys, games and sports requisites; parts and accessories thereof",95
Comoros,2018,Export,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87
Comoros,2018,Export,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",56
Comoros,2018,Export,Wood and articles of wood; wood charcoal,44
Comoros,2018,Export,Works of art; collectors' pieces and antiques,97
Comoros,2018,Import,"Aircraft, spacecraft and parts thereof",88
Comoros,2018,Import,Albuminoidal substances; modified starches; glues; enzymes,35
Comoros,2018,Import,Aluminium and articles thereof,76
Comoros,2018,Import,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15
Comoros,2018,Import,Animals; live,1
Comoros,2018,Import,Apparel and clothing accessories; knitted or crocheted,61
Comoros,2018,Import,Apparel and clothing accessories; not knitted or crocheted,62
Comoros,2018,Import,Arms and ammunition; parts and accessories thereof,93
Comoros,2018,Import,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
Comoros,2018,Import,"Beverages, spirits and vinegar",22
Comoros,2018,Import,Carpets and other textile floor coverings,57
Comoros,2018,Import,Ceramic products,69
Comoros,2018,Import,Cereals,10
Comoros,2018,Import,Chemical products n.e.c.,38
Comoros,2018,Import,Clocks and watches and parts thereof,91
Comoros,2018,Import,Cocoa and cocoa preparations,18
Comoros,2018,Import,"Coffee, tea, mate and spices",9
Comoros,2018,Import,Copper and articles thereof,74
Comoros,2018,Import,Cork and articles of cork,45
Comoros,2018,Import,Cotton,52
Comoros,2018,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4
Comoros,2018,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
Comoros,2018,Import,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
Comoros,2018,Import,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36
Comoros,2018,Import,Fabrics; knitted or crocheted,60
Comoros,2018,Import,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",58
Comoros,2018,Import,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
Comoros,2018,Import,Fertilizers,31
Comoros,2018,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",3
Comoros,2018,Import,"Food industries, residues and wastes thereof; prepared animal fodder",23
Comoros,2018,Import,Footwear; gaiters and the like; parts of such articles,64
Comoros,2018,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",8
Comoros,2018,Import,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Comoros,2018,Import,Furskins and artificial fur; manufactures thereof,43
Comoros,2018,Import,Glass and glassware,70
Comoros,2018,Import,Headgear and parts thereof,65
Comoros,2018,Import,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",28
Comoros,2018,Import,Iron and steel,72
Comoros,2018,Import,Iron or steel articles,73
Comoros,2018,Import,Lead and articles thereof,78
Comoros,2018,Import,Man-made filaments; strip and the like of man-made textile materials,54
Comoros,2018,Import,Man-made staple fibres,55
Comoros,2018,Import,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46
Comoros,2018,Import,Meat and edible meat offal,2
Comoros,2018,Import,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",16
Comoros,2018,Import,Metal; miscellaneous products of base metal,83
Comoros,2018,Import,"Metals; n.e.c., cermets and articles thereof",81
Comoros,2018,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
Comoros,2018,Import,Miscellaneous edible preparations,21
Comoros,2018,Import,Miscellaneous manufactured articles,96
Comoros,2018,Import,Musical instruments; parts and accessories of such articles,92
Comoros,2018,Import,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71
Comoros,2018,Import,Nickel and articles thereof,75
Comoros,2018,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Comoros,2018,Import,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",12
Comoros,2018,Import,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Comoros,2018,Import,Organic chemicals,29
Comoros,2018,Import,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Comoros,2018,Import,Pharmaceutical products,30
Comoros,2018,Import,Photographic or cinematographic goods,37
Comoros,2018,Import,Plastics and articles thereof,39
Comoros,2018,Import,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19
Comoros,2018,Import,"Preparations of vegetables, fruit, nuts or other parts of plants",20
Comoros,2018,Import,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
Comoros,2018,Import,"Products of the milling industry; malt, starches, inulin, wheat gluten",11
Comoros,2018,Import,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
Comoros,2018,Import,Raw hides and skins (other than furskins) and leather,41
Comoros,2018,Import,Rubber and articles thereof,40
Comoros,2018,Import,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25
Comoros,2018,Import,"Ships, boats and floating structures",89
Comoros,2018,Import,Silk,50
Comoros,2018,Import,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34
Comoros,2018,Import,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",68
Comoros,2018,Import,Sugars and sugar confectionery,17
Comoros,2018,Import,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",32
Comoros,2018,Import,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",59
Comoros,2018,Import,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",63
Comoros,2018,Import,Tin; articles thereof,80
Comoros,2018,Import,Tobacco and manufactured tobacco substitutes,24
Comoros,2018,Import,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",82
Comoros,2018,Import,"Toys, games and sports requisites; parts and accessories thereof",95
Comoros,2018,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",6
Comoros,2018,Import,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",66
Comoros,2018,Import,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14
Comoros,2018,Import,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,53
Comoros,2018,Import,Vegetables and certain roots and tubers; edible,7
Comoros,2018,Import,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87
Comoros,2018,Import,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",56
Comoros,2018,Import,Wood and articles of wood; wood charcoal,44
Comoros,2018,Import,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51
Comoros,2018,Import,Works of art; collectors' pieces and antiques,97
Comoros,2018,Import,Zinc and articles thereof,79
Comoros,2019,Export,Aluminium and articles thereof,76
Comoros,2019,Export,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15
Comoros,2019,Export,Animals; live,1
Comoros,2019,Export,Apparel and clothing accessories; not knitted or crocheted,62
Comoros,2019,Export,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
Comoros,2019,Export,Carpets and other textile floor coverings,57
Comoros,2019,Export,Ceramic products,69
Comoros,2019,Export,"Coffee, tea, mate and spices",9
Comoros,2019,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4
Comoros,2019,Export,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
Comoros,2019,Export,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
Comoros,2019,Export,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
Comoros,2019,Export,Footwear; gaiters and the like; parts of such articles,64
Comoros,2019,Export,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Comoros,2019,Export,Iron and steel,72
Comoros,2019,Export,Iron or steel articles,73
Comoros,2019,Export,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
Comoros,2019,Export,Miscellaneous manufactured articles,96
Comoros,2019,Export,Musical instruments; parts and accessories of such articles,92
Comoros,2019,Export,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Comoros,2019,Export,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Comoros,2019,Export,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Comoros,2019,Export,Plastics and articles thereof,39
Comoros,2019,Export,"Preparations of vegetables, fruit, nuts or other parts of plants",20
Comoros,2019,Export,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
Comoros,2019,Export,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
Comoros,2019,Export,Rubber and articles thereof,40
Comoros,2019,Export,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25
Comoros,2019,Export,"Ships, boats and floating structures",89
Comoros,2019,Export,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34
Comoros,2019,Export,Sugars and sugar confectionery,17
Comoros,2019,Export,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",63
Comoros,2019,Export,Tobacco and manufactured tobacco substitutes,24
Comoros,2019,Export,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",82
Comoros,2019,Export,"Toys, games and sports requisites; parts and accessories thereof",95
Comoros,2019,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",6
Comoros,2019,Export,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87
Comoros,2019,Export,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",56
Comoros,2019,Export,Wood and articles of wood; wood charcoal,44
Comoros,2019,Export,Works of art; collectors' pieces and antiques,97
Comoros,2019,Import,"Aircraft, spacecraft and parts thereof",88
Comoros,2019,Import,Albuminoidal substances; modified starches; glues; enzymes,35
Comoros,2019,Import,Aluminium and articles thereof,76
Comoros,2019,Import,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15
Comoros,2019,Import,Animal originated products; not elsewhere specified or included,5
Comoros,2019,Import,Animals; live,1
Comoros,2019,Import,Apparel and clothing accessories; not knitted or crocheted,62
Comoros,2019,Import,Arms and ammunition; parts and accessories thereof,93
Comoros,2019,Import,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
Comoros,2019,Import,"Beverages, spirits and vinegar",22
Comoros,2019,Import,Carpets and other textile floor coverings,57
Comoros,2019,Import,Ceramic products,69
Comoros,2019,Import,Cereals,10
Comoros,2019,Import,Chemical products n.e.c.,38
Comoros,2019,Import,Clocks and watches and parts thereof,91
Comoros,2019,Import,Cocoa and cocoa preparations,18
Comoros,2019,Import,"Coffee, tea, mate and spices",9
Comoros,2019,Import,Copper and articles thereof,74
Comoros,2019,Import,Cork and articles of cork,45
Comoros,2019,Import,Cotton,52
Comoros,2019,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4
Comoros,2019,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
Comoros,2019,Import,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
Comoros,2019,Import,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36
Comoros,2019,Import,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
Comoros,2019,Import,Fertilizers,31
Comoros,2019,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",3
Comoros,2019,Import,"Food industries, residues and wastes thereof; prepared animal fodder",23
Comoros,2019,Import,Footwear; gaiters and the like; parts of such articles,64
Comoros,2019,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",8
Comoros,2019,Import,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Comoros,2019,Import,Headgear and parts thereof,65
Comoros,2019,Import,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",28
Comoros,2019,Import,Iron and steel,72
Comoros,2019,Import,Iron or steel articles,73
Comoros,2019,Import,Lead and articles thereof,78
Comoros,2019,Import,Man-made filaments; strip and the like of man-made textile materials,54
Comoros,2019,Import,Man-made staple fibres,55
Comoros,2019,Import,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46
Comoros,2019,Import,Meat and edible meat offal,2
Comoros,2019,Import,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",16
Comoros,2019,Import,Metal; miscellaneous products of base metal,83
Comoros,2019,Import,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
Comoros,2019,Import,Miscellaneous edible preparations,21
Comoros,2019,Import,Miscellaneous manufactured articles,96
Comoros,2019,Import,Musical instruments; parts and accessories of such articles,92
Comoros,2019,Import,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71
Comoros,2019,Import,Nickel and articles thereof,75
Comoros,2019,Import,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Comoros,2019,Import,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",12
Comoros,2019,Import,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Comoros,2019,Import,"Ores, slag and ash",26
Comoros,2019,Import,Organic chemicals,29
Comoros,2019,Import,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Comoros,2019,Import,Pharmaceutical products,30
Comoros,2019,Import,Photographic or cinematographic goods,37
Comoros,2019,Import,Plastics and articles thereof,39
Comoros,2019,Import,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19
Comoros,2019,Import,"Preparations of vegetables, fruit, nuts or other parts of plants",20
Comoros,2019,Import,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
