yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Export,Turkey,Paraguay,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2631022,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Peru,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26954964,38.9597594,34.9249653,-6.8699697,-75.0458515
2019,2019,Export,Turkey,Philippines,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4467571,38.9597594,34.9249653,12.7503486,122.7312101
2019,2019,Export,Turkey,Pitcairn,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",305,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Poland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",971777913,38.9597594,34.9249653,52.215933,19.134422
2019,2019,Export,Turkey,Portugal,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",358164669,38.9597594,34.9249653,39.6621648,-8.1353519
2019,2019,Export,Turkey,Guinea-Bissau,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1333,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Qatar,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",93837600,38.9597594,34.9249653,25.3336984,51.2295295
2019,2019,Export,Turkey,Romania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",636334825,38.9597594,34.9249653,45.9852129,24.6859225
2019,2019,Export,Turkey,Russian Federation,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",402708208,38.9597594,34.9249653,64.6863136,97.7453061
2019,2019,Export,Turkey,Rwanda,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1081653,38.9597594,34.9249653,-1.9646631,30.0644358
2019,2019,Export,Turkey,Saint Kitts and Nevis,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42783,38.9597594,34.9249653,17.250512,-62.6725973
2019,2019,Export,Turkey,Saudi Arabia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",100882982,38.9597594,34.9249653,25.6242618,42.3528328
2019,2019,Export,Turkey,Senegal,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8140305,38.9597594,34.9249653,14.4750607,-14.4529612
2019,2019,Export,Turkey,Serbia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",140286566,38.9597594,34.9249653,44.1534121,20.55144
2019,2019,Export,Turkey,Seychelles,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24188,38.9597594,34.9249653,-4.6574977,55.4540146
2019,2019,Export,Turkey,Sierra Leone,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",691552,38.9597594,34.9249653,8.6400349,-11.8400269
2019,2019,Export,Turkey,India,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33155555,38.9597594,34.9249653,22.3511148,78.6677428
2019,2019,Export,Turkey,Singapore,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4834825,38.9597594,34.9249653,1.357107,103.8194992
2019,2019,Export,Turkey,Slovakia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",76951935,38.9597594,34.9249653,48.7411522,19.4528646
2019,2019,Export,Turkey,Viet Nam,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19850188,38.9597594,34.9249653,15.9266657,107.9650855
2019,2019,Export,Turkey,Slovenia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1137576636,38.9597594,34.9249653,45.8133113,14.4808369
2019,2019,Export,Turkey,Somalia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3674266,38.9597594,34.9249653,8.3676771,49.083416
2019,2019,Export,Turkey,South Africa,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",104247103,38.9597594,34.9249653,-28.8166236,24.991639
2019,2019,Export,Turkey,Zimbabwe,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",978483,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Spain,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1598325777,38.9597594,34.9249653,39.3260685,-4.8379791
2019,2019,Export,Turkey,South Sudan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38500,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Sudan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",16842278,38.9597594,34.9249653,14.5844444,29.4917691
2019,2019,Export,Turkey,Suriname,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",475702,38.9597594,34.9249653,4.1413025,-56.0771187
2019,2019,Export,Turkey,Sweden,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",426518688,38.9597594,34.9249653,59.6749712,14.5208584
2019,2019,Export,Turkey,Switzerland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",147800278,38.9597594,34.9249653,46.7985624,8.2319736
2019,2019,Export,Turkey,Syria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42398630,38.9597594,34.9249653,34.6401861,39.0494106
2019,2019,Export,Turkey,Tajikistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7167371,38.9597594,34.9249653,38.6281733,70.8156541
2019,2019,Export,Turkey,Thailand,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7664330,38.9597594,34.9249653,14.8971921,100.83273
