yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Qatar,Rwanda,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",212225,25.3336984,51.2295295,-1.9646631,30.0644358
2018,2018,Export,Qatar,Senegal,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",261794,25.3336984,51.2295295,14.4750607,-14.4529612
2018,2018,Export,Qatar,Sierra Leone,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19230,25.3336984,51.2295295,8.6400349,-11.8400269
2018,2018,Export,Qatar,India,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",899545,25.3336984,51.2295295,22.3511148,78.6677428
2018,2018,Export,Qatar,Singapore,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",637942,25.3336984,51.2295295,1.357107,103.8194992
2018,2018,Export,Qatar,Somalia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2257770,25.3336984,51.2295295,8.3676771,49.083416
2018,2018,Export,Qatar,South Africa,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",488497,25.3336984,51.2295295,-28.8166236,24.991639
2018,2018,Export,Qatar,Spain,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6711998,25.3336984,51.2295295,39.3260685,-4.8379791
2018,2018,Export,Qatar,Sudan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6407378,25.3336984,51.2295295,14.5844444,29.4917691
2018,2018,Export,Qatar,Sweden,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",151729,25.3336984,51.2295295,59.6749712,14.5208584
2018,2018,Export,Qatar,Switzerland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1147037,25.3336984,51.2295295,46.7985624,8.2319736
2018,2018,Export,Qatar,Syria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27472,25.3336984,51.2295295,34.6401861,39.0494106
2018,2018,Export,Qatar,Thailand,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",204630,25.3336984,51.2295295,14.8971921,100.83273
2018,2018,Export,Qatar,Togo,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",106922,25.3336984,51.2295295,8.7800265,1.0199765
2018,2018,Export,Qatar,Tunisia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9899279,25.3336984,51.2295295,33.8439408,9.400138
2018,2018,Export,Qatar,Turkey,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10881713,25.3336984,51.2295295,38.9597594,34.9249653
2018,2018,Export,Qatar,Turkmenistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",255092,25.3336984,51.2295295,39.3763807,59.3924609
2018,2018,Export,Qatar,Ukraine,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",84007,25.3336984,51.2295295,49.4871968,31.2718321
2018,2018,Export,Qatar,Egypt,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7447113,25.3336984,51.2295295,26.2540493,29.2675469
2018,2018,Export,Qatar,United Kingdom,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14786295,25.3336984,51.2295295,54.7023545,-3.2765753
2018,2018,Export,Qatar,United Rep. of Tanzania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",121452,25.3336984,51.2295295,,
2018,2018,Export,Qatar,USA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2962544,25.3336984,51.2295295,,
2018,2018,Export,Qatar,Uruguay,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26672,25.3336984,51.2295295,-32.8755548,-56.0201525
2018,2018,Export,Qatar,Yemen,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",671362,25.3336984,51.2295295,16.3471243,47.8915271
