yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Import,Bahrain,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2297645.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2015,2015.0,Import,Bahrain,Indonesia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",81735.0,,26.1551249,50.5344606,-2.4833826,117.8902853
2015,2015.0,Import,Bahrain,Iran,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5991.0,,26.1551249,50.5344606,32.6475314,54.5643516
2015,2015.0,Import,Bahrain,Italy,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",26571.0,,26.1551249,50.5344606,42.6384261,12.674297
2015,2015.0,Import,Bahrain,Japan,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5539.0,,26.1551249,50.5344606,36.5748441,139.2394179
2015,2015.0,Import,Bahrain,Jordan,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2712.0,,26.1551249,50.5344606,31.1667049,36.941628
2015,2015.0,Import,Bahrain,Dem. People's Rep. of Korea,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3422.0,,26.1551249,50.5344606,,
2015,2015.0,Import,Bahrain,Rep. of Korea,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9890.0,,26.1551249,50.5344606,,
2015,2015.0,Import,Bahrain,Kuwait,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2711.0,,26.1551249,50.5344606,29.2733964,47.4979476
2015,2015.0,Import,Bahrain,Lao People's Dem. Rep.,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",19.0,,26.1551249,50.5344606,,
2015,2015.0,Import,Bahrain,Lebanon,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",12041.0,,26.1551249,50.5344606,33.8750629,35.843409
2015,2015.0,Import,Bahrain,Lithuania,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",187.0,,26.1551249,50.5344606,55.3500003,23.7499997
2015,2015.0,Import,Bahrain,Luxembourg,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",134.0,,26.1551249,50.5344606,49.8158683,6.1296751
2015,2015.0,Import,Bahrain,"China, Macao SAR",46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",105.0,,26.1551249,50.5344606,,
2015,2015.0,Import,Bahrain,Malaysia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2468.0,,26.1551249,50.5344606,4.5693754,102.2656823
2015,2015.0,Import,Bahrain,Mexico,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",45.0,,26.1551249,50.5344606,23.6585116,-102.0077097
2015,2015.0,Import,Bahrain,"Other Asia, nes",46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",44208.0,,26.1551249,50.5344606,,
2015,2015.0,Import,Bahrain,Morocco,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1117.0,,26.1551249,50.5344606,31.1728205,-7.3362482
2015,2015.0,Import,Bahrain,Oman,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",35415.0,,26.1551249,50.5344606,21.0000287,57.0036901
2015,2015.0,Import,Bahrain,Netherlands,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",6882.0,,26.1551249,50.5344606,52.2434979,5.6343227
2015,2015.0,Import,Bahrain,New Zealand,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3841.0,,26.1551249,50.5344606,-41.5000831,172.8344077
2015,2015.0,Import,Bahrain,Niger,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",37.0,,26.1551249,50.5344606,17.7356214,9.3238432
2015,2015.0,Import,Bahrain,Pakistan,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",10664.0,,26.1551249,50.5344606,30.3308401,71.247499
2015,2015.0,Import,Bahrain,Philippines,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",41052.0,,26.1551249,50.5344606,12.7503486,122.7312101
2015,2015.0,Import,Bahrain,Poland,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",11733.0,,26.1551249,50.5344606,52.215933,19.134422
2015,2015.0,Import,Bahrain,Portugal,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9762.0,,26.1551249,50.5344606,39.6621648,-8.1353519
2015,2015.0,Import,Bahrain,Romania,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",456.0,,26.1551249,50.5344606,45.9852129,24.6859225
2015,2015.0,Import,Bahrain,Saudi Arabia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",24183.0,,26.1551249,50.5344606,25.6242618,42.3528328
2015,2015.0,Import,Bahrain,Serbia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",7.0,,26.1551249,50.5344606,44.1534121,20.55144
2015,2015.0,Import,Bahrain,India,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",112377.0,,26.1551249,50.5344606,22.3511148,78.6677428
2015,2015.0,Import,Bahrain,Singapore,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1091.0,,26.1551249,50.5344606,1.357107,103.8194992
2015,2015.0,Import,Bahrain,Viet Nam,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",39468.0,,26.1551249,50.5344606,15.9266657,107.9650855
2015,2015.0,Import,Bahrain,South Africa,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",355.0,,26.1551249,50.5344606,-28.8166236,24.991639
2015,2015.0,Import,Bahrain,Zimbabwe,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2280.0,,26.1551249,50.5344606,-18.4554963,29.7468414
2015,2015.0,Import,Bahrain,Spain,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",93681.0,,26.1551249,50.5344606,39.3260685,-4.8379791
2015,2015.0,Import,Bahrain,Sweden,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",604.0,,26.1551249,50.5344606,59.6749712,14.5208584
2015,2015.0,Import,Bahrain,Switzerland,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1074.0,,26.1551249,50.5344606,46.7985624,8.2319736
2015,2015.0,Import,Bahrain,Syria,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",100.0,,26.1551249,50.5344606,34.6401861,39.0494106
2015,2015.0,Import,Bahrain,Thailand,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",127205.0,,26.1551249,50.5344606,14.8971921,100.83273
2015,2015.0,Import,Bahrain,United Arab Emirates,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",94237.0,,26.1551249,50.5344606,24.0002488,53.9994829
2015,2015.0,Import,Bahrain,Tunisia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",18.0,,26.1551249,50.5344606,33.8439408,9.400138
2015,2015.0,Import,Bahrain,Turkey,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",20885.0,,26.1551249,50.5344606,38.9597594,34.9249653
2015,2015.0,Import,Bahrain,Egypt,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4915.0,,26.1551249,50.5344606,26.2540493,29.2675469
2015,2015.0,Import,Bahrain,United Kingdom,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",44138.0,,26.1551249,50.5344606,54.7023545,-3.2765753
2015,2015.0,Import,Bahrain,Free Zones,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",80573.0,,26.1551249,50.5344606,5.57675525,-0.1653113957934536
2015,2015.0,Import,Bahrain,USA,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",42412.0,,26.1551249,50.5344606,39.7837304,-100.445882
