yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,1084716,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,4543764,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,34686801,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,504658363,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Afghanistan, Afghanistan,20279,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Algeria, Algeria,4246054,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Azerbaijan, Azerbaijan,8311308,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Comoros, Comoros,305743,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,2341977,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Djibouti, Djibouti,3261276,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Georgia, Georgia,2967820,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,159953832,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,12531924,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,1478162,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,408703,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,2102154,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Libya, Libya,95120944,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,119647,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Morocco, Morocco,214,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,7247,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,29094,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,9168,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,5414844,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,State of Palestine, State of Palestine,4821874,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,2163602,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,1580378,38.9597594,34.9249653,,
