yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,1244828,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Iraq, Iraq,13768157,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Jordan, Jordan,17820,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Kuwait, Kuwait,1220613,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Lebanon, Lebanon,105746,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Libya, Libya,98970,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Morocco, Morocco,346678,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Oman, Oman,596045,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Pakistan, Pakistan,1368965,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Qatar, Qatar,122475,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,630771,24.0002488,53.9994829,,
2010,2010,Re-Export,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Yemen, Yemen,259628,24.0002488,53.9994829,,
