yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion_export,Region_export,TradeValue_export,rtLat,rtLon,ptLon,ptLat,mid,Subregion_import,Region_import,TradeValue_import
2011.0,2011.0,Export,Turkey,32.0,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",World,World,611672246.0,38.9597594,34.9249653,,,322011Turkey,World,World,1884496534.0
2011.0,2011.0,Export,Turkey,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",World,World,558717006.0,38.9597594,34.9249653,,,332011Turkey,World,World,1071449335.0
2011.0,2011.0,Export,Turkey,35.0,Albuminoidal substances; modified starches; glues; enzymes,World,World,135571389.0,38.9597594,34.9249653,,,352011Turkey,World,World,492772908.0
2011.0,2011.0,Export,Turkey,36.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,18305892.0,38.9597594,34.9249653,,,362011Turkey,World,World,52853819.0
2011.0,2011.0,Export,Turkey,37.0,Photographic or cinematographic goods,World,World,17645933.0,38.9597594,34.9249653,,,372011Turkey,World,World,239921688.0
2011.0,2011.0,Export,Turkey,38.0,Miscellaneous chemical products,World,World,451639326.0,38.9597594,34.9249653,,,382011Turkey,World,World,2204854048.0
2011.0,2011.0,Export,Turkey,39.0,Plastics and articles thereof,World,World,4580258186.0,38.9597594,34.9249653,,,392011Turkey,World,World,12578501480.0
2011.0,2011.0,Export,Turkey,40.0,Rubber and articles thereof,World,World,2593021896.0,38.9597594,34.9249653,,,402011Turkey,World,World,3361768547.0
2011.0,2011.0,Export,Turkey,41.0,Raw hides and skins(other than furskins) and leather,World,World,138608139.0,38.9597594,34.9249653,,,412011Turkey,World,World,722179029.0
2011.0,2011.0,Export,Turkey,42.0,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",World,World,419895416.0,38.9597594,34.9249653,,,422011Turkey,World,World,479333728.0
2011.0,2011.0,Export,Turkey,43.0,Furskins and artificial fur; manufactures thereof,World,World,261902531.0,38.9597594,34.9249653,,,432011Turkey,World,World,105347518.0
2011.0,2011.0,Export,Turkey,44.0,Wood and articles of wood; wood charcoal,World,World,652926513.0,38.9597594,34.9249653,,,442011Turkey,World,World,1427787301.0
2011.0,2011.0,Export,Turkey,45.0,Cork and articles of cork,World,World,715226.0,38.9597594,34.9249653,,,452011Turkey,World,World,7500904.0
2011.0,2011.0,Export,Turkey,46.0,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",World,World,724587.0,38.9597594,34.9249653,,,462011Turkey,World,World,14220601.0
2011.0,2011.0,Export,Turkey,47.0,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) of paper or paperboard,World,World,27797910.0,38.9597594,34.9249653,,,472011Turkey,World,World,602625329.0
2011.0,2011.0,Export,Turkey,48.0,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",World,World,1427253848.0,38.9597594,34.9249653,,,482011Turkey,World,World,3109936467.0
2011.0,2011.0,Export,Turkey,49.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",World,World,89759034.0,38.9597594,34.9249653,,,492011Turkey,World,World,170942028.0
2011.0,2011.0,Export,Turkey,50.0,Silk,World,World,3538409.0,38.9597594,34.9249653,,,502011Turkey,World,World,44647119.0
2011.0,2011.0,Export,Turkey,51.0,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",World,World,204156193.0,38.9597594,34.9249653,,,512011Turkey,World,World,458349403.0
2011.0,2011.0,Export,Turkey,52.0,Cotton,World,World,1922073273.0,38.9597594,34.9249653,,,522011Turkey,World,World,3608859926.0
2011.0,2011.0,Export,Turkey,53.0,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,World,World,24795614.0,38.9597594,34.9249653,,,532011Turkey,World,World,260728387.0
2011.0,2011.0,Export,Turkey,54.0,Man-made filaments; strip and the like of man-made textile materials,World,World,1446859000.0,38.9597594,34.9249653,,,542011Turkey,World,World,2007424168.0
2011.0,2011.0,Export,Turkey,55.0,Man-made staple fibres,World,World,1334817955.0,38.9597594,34.9249653,,,552011Turkey,World,World,2467116850.0
2011.0,2011.0,Export,Turkey,56.0,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",World,World,406619593.0,38.9597594,34.9249653,,,562011Turkey,World,World,419178220.0
2011.0,2011.0,Export,Turkey,57.0,Carpets and other textile floor coverings,World,World,1601798011.0,38.9597594,34.9249653,,,572011Turkey,World,World,194097631.0
2011.0,2011.0,Export,Turkey,58.0,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,528842651.0,38.9597594,34.9249653,,,582011Turkey,World,World,198876897.0
2011.0,2011.0,Export,Turkey,59.0,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",World,World,352833513.0,38.9597594,34.9249653,,,592011Turkey,World,World,362463678.0
2011.0,2011.0,Export,Turkey,60.0,Knitted or crocheted fabrics,World,World,1482848125.0,38.9597594,34.9249653,,,602011Turkey,World,World,559105832.0
2011.0,2011.0,Export,Turkey,61.0,"Articles of apparel and clothing accessories, knitted or crocheted",World,World,8385635881.0,38.9597594,34.9249653,,,612011Turkey,World,World,1084866422.0
2011.0,2011.0,Export,Turkey,62.0,"Articles of apparel and clothing accessories, not knitted or crocheted",World,World,5124460045.0,38.9597594,34.9249653,,,622011Turkey,World,World,1874029517.0
2011.0,2011.0,Export,Turkey,63.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags,World,World,2138564808.0,38.9597594,34.9249653,,,632011Turkey,World,World,206780435.0
